type,Latitude,Longitude,country,Country,,Type
Earthquake,36.543,71.2681,Afghanistan,Afghanistan,,Earthquake
earthquake,36.5061,70.5994,Afghanistan,Afghanistan,,Earthquake
earthquake,36.4512,70.7023,Afghanistan,Afghanistan,,Earthquake
earthquake,29.7252,65.3575,Afghanistan,Afghanistan,,Earthquake
earthquake,29.7645,65.3645,Afghanistan,Afghanistan,,Earthquake
earthquake,36.5061,70.5994,Afghanistan,Afghanistan,,Earthquake
earthquake,34.6012,62.1031,Afghanistan,Afghanistan,,Earthquake
earthquake,34.6171,62.0517,Afghanistan,Afghanistan,,Earthquake
earthquake,34.5798,62.0717,Afghanistan,Afghanistan,,Earthquake
earthquake,34.6391,62.0327,Afghanistan,Afghanistan,,Earthquake
earthquake,34.5492,61.884,Afghanistan,Afghanistan,,Earthquake
earthquake,34.5414,61.9547,Afghanistan,Afghanistan,,Earthquake
earthquake,34.6259,61.926,Afghanistan,Afghanistan,,Earthquake
earthquake,36.4512,70.7023,Afghanistan,Afghanistan,,Earthquake
earthquake,36.543,71.2681,Afghanistan,Afghanistan,,Earthquake
earthquake,29.7252,65.3575,Afghanistan,Afghanistan,,Earthquake
earthquake,29.7645,65.3645,Afghanistan,Afghanistan,,Earthquake
earthquake,36.5061,70.5994,Afghanistan,Afghanistan,,Earthquake
earthquake,34.6012,62.1031,Afghanistan,Afghanistan,,Earthquake
earthquake,34.6171,62.0517,Afghanistan,Afghanistan,,Earthquake
earthquake,34.5798,62.0717,Afghanistan,Afghanistan,,Earthquake
earthquake,34.6391,62.0327,Afghanistan,Afghanistan,,Earthquake
earthquake,34.5492,61.884,Afghanistan,Afghanistan,,Earthquake
earthquake,34.5414,61.9547,Afghanistan,Afghanistan,,Earthquake
earthquake,34.6259,61.926,Afghanistan,Afghanistan,,Earthquake
earthquake,36.4512,70.7023,Afghanistan,Afghanistan,,Earthquake
tsunami,41.3,19.7,ALBANIA,Albania,,Tsunami
tsunami,40.4,19.5,ALBANIA,Albania,,Tsunami
tsunami,40.3,19.4,ALBANIA,Albania,,Tsunami
tsunami,40.5,19.7,ALBANIA,Albania,,Tsunami
tsunami,40.4,19.9,ALBANIA,Albania,,Tsunami
tsunami,40.2,19.7,ALBANIA,Albania,,Tsunami
tsunami,40.5,19.5,ALBANIA,Albania,,Tsunami
tsunami,41.4,19.4,ALBANIA,Albania,,Tsunami
tsunami,40.9,20.8,ALBANIA,Albania,,Tsunami
tsunami,41.3,19.5,ALBANIA,Albania,,Tsunami
tsunami,36.964,3.634,ALBANIA,Albania,,Tsunami
tsunami,36.788000000000004,2.448,ALGERIA,Algeria,,Tsunami
tsunami,36.195,1.354,ALGERIA,Algeria,,Tsunami
tsunami,36.5,2.9,ALGERIA,Algeria,,Tsunami
tsunami,35.7,-0.6,ALGERIA,Algeria,,Tsunami
tsunami,36.8,3,ALGERIA,Algeria,,Tsunami
tsunami,37.1,5.7,ALGERIA,Algeria,,Tsunami
tsunami,36.5,1.3,ALGERIA,Algeria,,Tsunami
tsunami,37.1,5.7,ALGERIA,Algeria,,Tsunami
tsunami,36.283,1.4669999999999999,ALGERIA,Algeria,,Tsunami
tsunami,36.5,1.8,ALGERIA,Algeria,,Tsunami
tsunami,36.939,3.5780000000000003,ALGERIA,Algeria,,Tsunami
volcano,23.92,5.83,Algeria,Algeria,,Volcano
tsunami,-63,-60.5,ANTARCTICA,Antarctica,,Tsunami
tsunami,-62.877,149.52700000000002,ANTARCTICA,Antarctica,,Tsunami
tsunami,-60.274,-46.401,ANTARCTICA,Antarctica,,Tsunami
volcano,-75.8,-132.33,Antarctica,Antarctica,,Volcano
volcano,-76.05,-136,Antarctica,Antarctica,,Volcano
volcano,-66.78,163.25,Antarctica,Antarctica,,Volcano
volcano,-63.001,-60.652,Antarctica,Antarctica,,Volcano
volcano,-77.53,167.17,Antarctica,Antarctica,,Volcano
volcano,-74.33,-99.42,Antarctica,Antarctica,,Volcano
volcano,-64.15,-57.75,Antarctica,Antarctica,,Volcano
volcano,-74.35,164.7,Antarctica,Antarctica,,Volcano
volcano,-78.5,163.53,Antarctica,Antarctica,,Volcano
volcano,-62.1,-57.93,Antarctica,Antarctica,,Volcano
volcano,-72.67,165.5,Antarctica,Antarctica,,Volcano
volcano,-78.25,163.33,Antarctica,Antarctica,,Volcano
volcano,-65.03,-60.05,Antarctica,Antarctica,,Volcano
volcano,-73.43,-126.67,Antarctica,Antarctica,,Volcano
volcano,-76.28,-112.08,Antarctica,Antarctica,,Volcano
volcano,-75.8,-115.83,Antarctica,Antarctica,,Volcano
volcano,-77.17,-126.88,Antarctica,Antarctica,,Volcano
earthquake,-28.6825,-69.3728,Argentina,Argentina,,Earthquake
earthquake,-22.2935,-65.9607,Argentina,Argentina,,Earthquake
earthquake,-23.3523,-66.6742,Argentina,Argentina,,Earthquake
earthquake,-28.4553,-68.9432,Argentina,Argentina,,Earthquake
earthquake,-24.1126,-66.8382,Argentina,Argentina,,Earthquake
earthquake,-22.8844,-66.2242,Argentina,Argentina,,Earthquake
earthquake,-23.6067,-63.6564,Argentina,Argentina,,Earthquake
earthquake,-26.9212,-63.3389,Argentina,Argentina,,Earthquake
earthquake,-28.2143,-63.1854,Argentina,Argentina,,Earthquake
earthquake,-38.1911,-70.3731,Argentina,Argentina,,Earthquake
earthquake,-22.2935,-65.9607,Argentina,Argentina,,Earthquake
earthquake,-23.3523,-66.6742,Argentina,Argentina,,Earthquake
earthquake,-24.1126,-66.8382,Argentina,Argentina,,Earthquake
earthquake,-22.8844,-66.2242,Argentina,Argentina,,Earthquake
earthquake,-23.6067,-63.6564,Argentina,Argentina,,Earthquake
earthquake,-26.9212,-63.3389,Argentina,Argentina,,Earthquake
earthquake,-28.6825,-69.3728,Argentina,Argentina,,Earthquake
earthquake,-22.2935,-65.9607,Argentina,Argentina,,Earthquake
earthquake,-23.3523,-66.6742,Argentina,Argentina,,Earthquake
earthquake,-28.4553,-68.9432,Argentina,Argentina,,Earthquake
earthquake,-24.1126,-66.8382,Argentina,Argentina,,Earthquake
earthquake,-22.8844,-66.2242,Argentina,Argentina,,Earthquake
earthquake,-23.6067,-63.6564,Argentina,Argentina,,Earthquake
earthquake,-26.9212,-63.3389,Argentina,Argentina,,Earthquake
earthquake,-28.2143,-63.1854,Argentina,Argentina,,Earthquake
earthquake,-38.1911,-70.3731,Argentina,Argentina,,Earthquake
volcano,-26.12,-67.4,Argentina,Argentina,,Volcano
volcano,-24.29,-67.783,Argentina,Argentina,,Volcano
volcano,-34.65,-70.05,Argentina,Argentina,,Volcano
volcano,-39.02,-70.37,Argentina,Argentina,,Volcano
volcano,-26.789,-67.765,Argentina,Argentina,,Volcano
volcano,-42.018,-70.194,Argentina,Argentina,,Volcano
volcano,-36.638,-70.432,Argentina,Argentina,,Volcano
volcano,-39.887,-71.58,Argentina,Argentina,,Volcano
volcano,-35.123,-69.9,Argentina,Argentina,,Volcano
volcano,-36.422,-69.241,Argentina,Argentina,,Volcano
volcano,-38.509,-70.898,Argentina,Argentina,,Volcano
volcano,-37.738,-70.906,Argentina,Argentina,,Volcano
volcano,-37.144,-70.033,Argentina,Argentina,,Volcano
volcano,-24.05,-66.48,Argentina,Argentina,,Volcano
tsunami,-33.8,151.3,AUSTRALIA,Australia,,Tsunami
tsunami,-33.8,151.3,AUSTRALIA,Australia,,Tsunami
tsunami,-33.8,151.3,AUSTRALIA,Australia,,Tsunami
tsunami,-33.8,151.3,AUSTRALIA,Australia,,Tsunami
tsunami,-33.8,151.3,AUSTRALIA,Australia,,Tsunami
tsunami,-56,157.5,AUSTRALIA,Australia,,Tsunami
tsunami,-13.802,97.45299999999999,AUSTRALIA,Australia,,Tsunami
tsunami,-52.341,160.56799999999998,AUSTRALIA,Australia,,Tsunami
tsunami,-49.312,161.345,AUSTRALIA,Australia,,Tsunami
tsunami,-40.85,145.32,AUSTRALIA,Australia,,Tsunami
tsunami,-43.3,148.9,AUSTRALIA,Australia,,Tsunami
tsunami,-12.4,130.7,AUSTRALIA,Australia,,Tsunami
tsunami,-29.06,167.95,AUSTRALIA,Australia,,Tsunami
tsunami,-33.8,151.3,AUSTRALIA,Australia,,Tsunami
volcano,-53.106,73.513,Australia,Australia,,Volcano
volcano,-37.77,142.5,Australia,Australia,,Volcano
earthquake,23.1278,90.927,Bangladesh,Bangladesh,,Earthquake
earthquake,24.9743,92.2176,Bangladesh,Bangladesh,,Earthquake
tsunami,22,92,BANGLADESH,Bangladesh,,Tsunami
tsunami,24,89.25,BANGLADESH,Bangladesh,,Tsunami
tsunami,25.149,95.12700000000001,BANGLADESH,Bangladesh,,Tsunami
tsunami,22,89,BANGLADESH,Bangladesh,,Tsunami
tsunami,26.755,86.616,BANGLADESH,Bangladesh,,Tsunami
earthquake,-19.1251,-67.3038,BOLIVIA,Bolivia,,Earthquake
earthquake,-21.9201,-67.253,BOLIVIA,Bolivia,,Earthquake
earthquake,-19.1251,-67.3038,BOLIVIA,Bolivia,,Earthquake
earthquake,-21.9201,-67.253,BOLIVIA,Bolivia,,Earthquake
earthquake,-21.9201,-67.253,BOLIVIA,Bolivia,,Earthquake
volcano,-19.78,-66.48,Bolivia,Bolivia,,Volcano
volcano,-19.463,-67.432,Bolivia,Bolivia,,Volcano
volcano,-20.85,-68.2,Bolivia,Bolivia,,Volcano
earthquake,51.5572,-130.594,Canada,Canada,,Earthquake
earthquake,51.6758,-130.632,Canada,Canada,,Earthquake
earthquake,68.1656,-136.376,Canada,Canada,,Earthquake
earthquake,68.1761,-136.343,Canada,Canada,,Earthquake
earthquake,68.1507,-136.313,Canada,Canada,,Earthquake
earthquake,51.5572,-130.594,Canada,Canada,,Earthquake
earthquake,51.6758,-130.632,Canada,Canada,,Earthquake
earthquake,45.9997,-72.8106,Canada,Canada,,Earthquake
tsunami,48.967,-58,CANADA,Canada,,Tsunami
tsunami,49.87,-124.92,CANADA,Canada,,Tsunami
tsunami,49,-125,CANADA,Canada,,Tsunami
tsunami,51,-131,CANADA,Canada,,Tsunami
tsunami,53.6,-133.3,CANADA,Canada,,Tsunami
tsunami,44.69,-56,CANADA,Canada,,Tsunami
tsunami,46.5,-53.7,CANADA,Canada,,Tsunami
tsunami,52.61600000000001,-55.766,CANADA,Canada,,Tsunami
tsunami,44.633,-63.583,CANADA,Canada,,Tsunami
tsunami,53.98,-128.68,CANADA,Canada,,Tsunami
tsunami,49.277,-128.772,CANADA,Canada,,Tsunami
tsunami,49.475,-121.847,CANADA,Canada,,Tsunami
